metric,grain,dimensions,value,n,note
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=00,0.145027,87756,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=01,0.113075,58740,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=02,0.134752,42055,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=03,0.193334,36574,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=04,0.220151,40772,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=05,0.141684,60882,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=06,0.143577,99410,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=07,0.145800,147449,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=08,0.139421,172678,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=09,0.078947,145730,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=10,0.067601,127394,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=11,0.077858,124137,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=12,0.101326,126434,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=13,0.124241,132050,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=14,0.132071,144490,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=15,0.117858,147941,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=16,0.122465,154436,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=17,0.125739,155369,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=18,0.088626,143773,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=19,0.106964,134793,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=20,0.139358,124464,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=21,0.155535,125181,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=22,0.181643,125653,
M1_late_rate_10,borough x hour_of_day,borough=Bronx|hour=23,0.189462,117860,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=00,0.122056,204579,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=01,0.093136,143081,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=02,0.136403,105254,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=03,0.189780,86811,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=04,0.227290,82432,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=05,0.139618,99414,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=06,0.125399,147250,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=07,0.136375,213815,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=08,0.142341,270765,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=09,0.089069,260999,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=10,0.066290,241199,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=11,0.075850,241557,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=12,0.095002,245595,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=13,0.112685,251967,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=14,0.098883,266233,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=15,0.081142,278474,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=16,0.071316,289695,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=17,0.082886,320959,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=18,0.065160,322424,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=19,0.062566,305454,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=20,0.077616,276426,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=21,0.090719,282167,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=22,0.142224,296828,
M1_late_rate_10,borough x hour_of_day,borough=Brooklyn|hour=23,0.149147,268930,
M1_late_rate_10,borough x hour_of_day,borough=EWR|hour=17,0.000000,1,
M1_late_rate_10,borough x hour_of_day,borough=EWR|hour=22,1.000000,1,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=00,0.082281,276639,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=01,0.071001,205433,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=02,0.070052,148348,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=03,0.095270,110234,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=04,0.148702,92870,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=05,0.088223,100427,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=06,0.052003,157644,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=07,0.048065,240612,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=08,0.074734,327042,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=09,0.044817,315885,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=10,0.034246,298254,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=11,0.050469,313639,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=12,0.066189,323209,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=13,0.075579,332329,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=14,0.075151,336828,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=15,0.071997,345460,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=16,0.082414,375738,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=17,0.099335,411637,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=18,0.068428,437353,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=19,0.044618,434804,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=20,0.052319,433727,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=21,0.069078,444728,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=22,0.088765,422125,
M1_late_rate_10,borough x hour_of_day,borough=Manhattan|hour=23,0.089885,365443,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=00,0.263179,162889,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=01,0.179389,107214,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=02,0.171053,77356,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=03,0.199110,70579,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=04,0.202277,82036,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=05,0.121497,110455,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=06,0.094914,152212,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=07,0.090309,205916,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=08,0.093390,245787,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=09,0.065151,229129,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=10,0.068623,216181,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=11,0.075980,212280,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=12,0.089320,211555,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=13,0.093249,224431,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=14,0.100637,244691,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=15,0.095585,249716,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=16,0.094917,253896,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=17,0.095183,261633,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=18,0.091973,256248,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=19,0.104329,239626,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=20,0.139673,222685,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=21,0.172634,222465,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=22,0.217942,222876,
M1_late_rate_10,borough x hour_of_day,borough=Queens|hour=23,0.258810,208578,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=00,0.299379,7893,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=01,0.309554,5537,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=02,0.346889,3713,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=03,0.369888,3301,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=04,0.378197,4183,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=05,0.262290,6367,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=06,0.205151,11260,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=07,0.173109,16660,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=08,0.149546,20161,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=09,0.107284,18232,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=10,0.108407,16438,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=11,0.126645,16945,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=12,0.126782,16903,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=13,0.143235,18159,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=14,0.148302,20411,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=15,0.135362,21003,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=16,0.129430,20683,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=17,0.130991,20490,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=18,0.117790,17735,
M1_late_rate_10,borough x hour_of_day,borough=Staten Island|hour=19,0.129891,15513,
